Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
82	2000.0	4.101679	0.7575532	5.901122	1.568249	4.102876	0.07580126	4.4423475	3.9982724	166000	4.768372e-10	0.42963588	-3.5749556e-05	-1.4573336e-05	0.029013962	0.00011432727	0.0006484375	624.0	908.7263443470001
83	2000.0	4.10395	0.73162806	6.336221	2.3411334	4.1071377	0.07345636	4.418921	3.9900787	168000	1.1734665e-09	0.42051157	0.00024346131	0.0002526641	0.028816463	0.00059428223	0.00928125	624.0	919.7535891532898
84	2000.0	4.167911	0.7523352	6.3263283	2.2996309	4.12922	0.06679329	4.416634	4.0376544	170000	6.5565114e-10	0.4423776	-1.7228664e-05	-0.0004158318	0.02868313	8.172294e-05	0.00046289063	624.0	930.7716813087463
85	2000.0	4.1130404	0.76182914	6.026002	1.8730209	4.143256	0.05708404	4.392513	4.065779	172000	1.3709069e-09	0.43120602	0.00010832873	-0.0010301471	0.028137542	0.00034170874	0.0042070313	624.0	941.8025605678558
86	2000.0	4.155735	0.7860712	6.907024	2.056939	4.1180234	0.066910446	4.414282	4.033944	174000	2.8312208e-10	0.43683627	-3.249458e-05	0.00023141503	0.027282389	0.00015531185	0.0014775391	624.0	952.8601884841919
87	2000.0	4.15084	0.7992469	6.398681	1.6006904	4.110946	0.056678887	4.3789167	4.045265	176000	1.0430813e-09	0.47863343	6.3443185e-06	-0.00089520216	0.026039574	3.635987e-05	7.8125e-06	624.0	963.909814119339
88	2000.0	4.148641	0.7654865	6.1373463	1.6668983	4.142952	0.068848096	4.4849997	4.0644274	178000	1.192093e-10	0.44136253	2.5729836e-05	-0.00020971894	0.025768237	0.00012345386	0.0010625	624.0	974.9793200492859
89	2000.0	4.113759	0.7841013	6.397836	2.0563667	4.1385093	0.064140536	4.425522	4.0513773	180000	-4.4703485e-10	0.4471836	8.785517e-06	-0.0004479885	0.025690395	0.00022265398	0.0029765626	624.0	986.0411641597748
90	2000.0	4.073797	0.7716094	6.1788735	1.4935308	4.1215005	0.060043704	4.3802137	4.038857	182000	2.7492644e-09	0.44301102	1.61431e-05	-0.0005637109	0.025489675	5.187721e-05	0.00048046876	624.0	997.1156470775604
91	2000.0	4.0204334	0.7638897	6.6048245	1.9967512	4.053662	0.07085961	4.337406	3.9573069	184000	7.748604e-10	0.44088775	4.185522e-05	-0.00019684434	0.025392223	0.00024401996	0.0033134765	624.0	1008.1694052219391
92	2000.0	4.148546	0.7903773	6.215655	1.4084697	4.0310564	0.07436781	4.400854	3.931289	186000	5.960465e-10	0.47714493	0.00015543611	-0.005289942	0.023939235	0.0002586693	0.0030908203	624.0	1019.2327969074249
93	2000.0	4.1253157	0.791538	6.4503307	2.0442371	4.1043034	0.0672776	4.367293	4.001814	188000	-1.2740493e-09	0.4588843	0.00015288888	-0.0003068149	0.023527442	0.0003633364	0.006216797	624.0	1030.2917053699493
94	2000.0	4.143467	0.7594748	6.5436926	2.1481333	4.1184044	0.06023718	4.388835	4.021933	190000	5.960465e-10	0.43527287	0.0002137327	0.0013612211	0.02342634	0.0003819477	0.004543945	624.0	1041.3413836956024
95	2000.0	4.121619	0.78700674	6.4069557	2.1679928	4.1673307	0.06456119	4.449512	4.0831256	192000	5.960465e-11	0.4493113	3.897232e-05	-4.351139e-06	0.023387609	0.00013428887	0.00153125	624.0	1052.3496980667114
96	2000.0	4.135071	0.7933364	6.338901	2.1249964	4.170006	0.072084054	4.4731183	4.083914	194000	-2.7567149e-10	0.45423603	3.425444e-05	-0.0004080832	0.023488017	0.0001628357	0.001459961	624.0	1063.3751363754272
97	2000.0	4.166467	0.71976596	6.850941	2.2909634	4.146851	0.062442534	4.410117	4.064138	196000	2.0861626e-10	0.42106086	8.1217884e-05	-0.00022926927	0.023687463	0.00029429345	0.0028271484	624.0	1074.3949887752533
98	2000.0	4.092228	0.7088236	6.2490535	2.0333807	4.1489434	0.061332036	4.424705	4.070149	198000	-8.3446505e-10	0.39709166	2.7077924e-05	-0.001411587	0.023207216	0.00020386066	0.0023544922	624.0	1085.4696509838104
99	2000.0	4.07631	0.75320274	6.31329	2.076339	4.1180363	0.05893172	4.3822823	4.0406437	200000	-1.013279e-09	0.41576642	5.87557e-05	-0.00081801414	0.022650117	0.00015515056	0.0019365235	624.0	1096.485763311386
100	2000.0	4.1028795	0.7769112	6.546676	1.9726098	4.095481	0.064887345	4.3782988	4.0031357	202000	-5.960465e-11	0.43894693	4.2067408e-05	-0.00019314885	0.022492193	0.00017876542	0.002165039	624.0	1107.5220923423767
101	2000.0	4.12524	0.80436766	6.6862125	1.4879854	4.0931306	0.05494398	4.35378	4.0353494	204000	2.2351743e-10	0.46534014	5.135852e-05	0.00027686357	0.02286979	0.00015216767	0.0015820313	624.0	1118.5669496059418
102	2000.0	4.1605034	0.75959283	6.510276	2.0111485	4.1571856	0.06077176	4.482949	4.092194	206000	1.6987325e-09	0.44552314	-2.1569731e-05	-0.00011378527	0.022182334	5.3185922e-05	0.00019238281	624.0	1129.5679025650024
103	2000.0	4.1277685	0.76617944	6.3424654	1.9423554	4.153153	0.07288859	4.45185	4.062343	208000	7.1525574e-10	0.45188436	7.459325e-05	-0.00035339594	0.021715768	0.00035810104	0.00627832	624.0	1140.6036319732666
104	2000.0	4.138689	0.7718826	7.1607294	2.173321	4.1402197	0.060238928	4.4304023	4.0609293	210000	5.960465e-11	0.45799917	0.0004120035	0.0014903843	0.021395558	0.0006783997	0.010486328	624.0	1151.6323161125183
105	2000.0	4.146911	0.78062135	6.6521564	1.8822963	4.0950093	0.062793806	4.353465	4.0148716	212000	0.0	0.45015085	4.9274982e-05	-0.0027879179	0.021253403	0.00022777445	0.0029375	624.0	1162.7002720832825
106	2000.0	4.1864767	0.72539026	6.626513	2.0675714	4.1435895	0.07487691	4.498571	4.0502663	214000	1.3411046e-09	0.4179143	1.0973797e-05	0.00053176284	0.020976061	0.00019993288	0.0021591797	624.0	1173.7396767139435
107	2000.0	4.120774	0.7118923	6.285167	2.0825963	4.1314445	0.067612395	4.462326	4.050347	216000	6.5565114e-10	0.41242495	4.648784e-05	0.00016745925	0.021001793	0.00012822298	0.0010888672	624.0	1184.7605075836182
108	2000.0	4.069002	0.74319345	7.1838536	1.6193401	4.087895	0.054133955	4.3303757	4.0198145	218000	1.192093e-10	0.42318046	2.9284001e-05	-0.00023159385	0.020849138	0.00027501865	0.004424805	624.0	1195.8118619918823
109	2000.0	4.0856185	0.7418233	6.6522546	1.8070598	4.091466	0.05608676	4.353985	4.022067	220000	1.1324883e-09	0.42190316	0.00054074306	-0.00016650558	0.02035684	0.0009962568	0.0116123045	624.0	1206.90527009964
110	2000.0	4.0832615	0.72308385	5.9833155	1.973451	4.08893	0.06757694	4.382561	3.997778	222000	-2.6822092e-10	0.41024536	-2.2132905e-05	-0.00012814999	0.020338366	2.7071404e-05	8.8867186e-05	624.0	1217.995240688324
111	2000.0	4.117375	0.77785593	6.4880266	2.0710452	4.086309	0.059909433	4.3720064	4.0058136	224000	-7.1525574e-10	0.46548578	4.2061154e-05	0.0005854964	0.020140668	0.0001654431	0.0029365234	624.0	1229.0761001110077
